trial.started,target.started,mouse.started,trial.stopped,mouse.time,motor resp,des time
0.0033932,0.2218791,0.2218791,9.0269135,8.8534236,8.8050344,0.0483892
9.0298395,9.2543444,9.2543444,11.5982739,2.3883966,2.3439295,0.0444671
11.5993184,11.8266207,11.8266207,14.1837148,2.4025896,2.3570941,0.0454955
14.1847558,14.4179266,14.4179266,25.9890984,11.6278313,11.5711718,0.0566595
25.9900624,26.2206663,26.2206663,29.4851748,3.3255303,3.2645085,0.0610218
29.4861344,29.7718942,29.7718942,32.3104203,2.598544,2.5385261,0.0600179
32.3114381,32.5344041,32.5344041,37.7946355,5.3038911,5.2602314,0.0436597
37.7956713,38.0312637,38.0312637,42.7215549,4.7399062,4.6902912,0.049615
42.7225842,42.9499497,42.9499497,65.6241611,22.720859,22.6742114,0.0466476
65.6251891,65.8528878,65.8528878,68.9092299,3.1051558,3.0563421,0.0488137
68.9103209,69.1442905,69.1442905,71.535333,2.4363637,2.3910425,0.0453212
71.5363745,71.8098795,71.8098795,76.6814114,4.9182524,4.8715319,0.0467205
76.6824494,76.9081615,76.9081615,89.1359992,12.2725291,12.2278377,0.0446914
89.1370931,89.3568577,89.3568577,96.7918476,7.4862576,7.4349899,0.0512677
96.7927983,97.0338649,97.0338649,99.2368875,2.2665049,2.2030226,0.0634823
99.2380807,99.4813043,99.4813043,111.9767777,12.5578302,12.4954734,0.0623568
111.977832,112.206295,112.206295,115.1136598,2.9560958,2.9073648,0.048731
115.1146948,115.3928597,115.3928597,121.6669798,6.3220933,6.2741201,0.0479732
121.6680873,121.8972662,121.8972662,123.6829564,1.8331546,1.7856902,0.0474644
123.6840178,123.9157178,123.9157178,147.580635,23.716704,23.6649172,0.0517868
147.5817815,147.8161981,147.8161981,153.2842448,5.5251022,5.4680467,0.0570555
153.2853023,153.527611,153.527611,155.2296115,1.7622029,1.7020005,0.0602024
155.2307024,155.4631128,155.4631128,158.8957679,3.48173,3.4326551,0.0490749
158.8968318,159.1965116,159.1965116,161.6447692,2.5013145,2.4482576,0.0530569
161.6458251,161.9310866,161.9310866,164.9075007,3.0254794,2.9764141,0.0490653
164.9085422,165.1403935,165.1403935,168.5553853,3.4676687,3.4149918,0.0526769
168.556526,168.8100073,168.8100073,177.3752722,8.623941,8.5652649,0.0586761
177.3763292,177.6223043,177.6223043,184.8068766,7.2370525,7.1845723,0.0524802
184.8080113,185.0587267,185.0587267,188.5121687,3.5076161,3.453442,0.0541741
188.5132596,188.7480296,188.7480296,199.6855839,10.9867951,10.9375543,0.0492408
