trial.started,target.started,mouse.started,trial.stopped,mouse.time,motor resp,des time
0.0034843,0.2217393,0.2217393,2.6134687,2.4418782,2.3917294,0.0501488
2.615557,2.8345098,2.8345098,5.7305916,2.9439004,2.8960818,0.0478186
5.7316808,5.9651538,5.9651538,8.2850711,2.3763113,2.3199173,0.056394
8.286049,8.5223846,8.5223846,14.2573063,5.7968149,5.7349217,0.0618932
14.2583354,14.4947831,14.4947831,16.3241365,1.8871337,1.8293534,0.0577803
16.3252129,16.6219446,16.6219446,20.0097709,3.442261,3.3878263,0.0544347
20.0108271,20.2343134,20.2343134,22.961237,2.7767168,2.7269236,0.0497932
22.9622379,23.1811473,23.1811473,29.782188,6.6481142,6.6010407,0.0470735
29.7831826,29.9963572,29.9963572,33.6200147,3.6758633,3.6236575,0.0522058
33.6211477,33.8486925,33.8486925,38.725102,4.9286517,4.8764095,0.0522422
38.7261508,38.9581334,38.9581334,42.5954434,3.6942661,3.63731,0.0569561
42.5964821,42.8889802,42.8889802,50.4706461,7.635976,7.5816659,0.0543101
50.4716639,50.7054953,50.7054953,57.7350405,7.0820005,7.0295452,0.0524553
57.7360287,57.9646744,57.9646744,63.0701627,5.1503862,5.1054883,0.0448979
63.0712587,63.2912405,63.2912405,66.9499066,3.7042387,3.6586661,0.0455726
66.9511989,67.2260774,67.2260774,72.8653721,5.6940086,5.6392947,0.0547139
72.8663995,73.0917387,73.0917387,77.0038357,3.9574633,3.912097,0.0453663
77.0048661,77.235425,77.235425,79.868908,2.6881104,2.633483,0.0546274
79.8698483,80.1483179,80.1483179,82.4226189,2.3215092,2.274301,0.0472082
82.4236538,82.6422388,82.6422388,87.4641847,4.8676776,4.8219459,0.0457317
87.4652155,87.6906466,87.6906466,89.802896,2.1607123,2.1122494,0.0484629
89.8039083,90.0229538,90.0229538,94.2313921,4.2545884,4.2084383,0.0461501
94.232435,94.4579587,94.4579587,107.8305106,13.4203253,13.3725519,0.0477734
107.831895,108.1554285,108.1554285,112.0380232,3.9472071,3.8825947,0.0646124
112.0390542,112.3264239,112.3264239,115.1685119,2.8895833,2.842088,0.0474953
115.1695516,115.4067956,115.4067956,119.558754,4.2103268,4.1519584,0.0583684
119.5597097,119.9206981,119.9206981,122.7686308,2.9178862,2.8479327,0.0699535
122.7696902,122.9994424,122.9994424,125.4077085,2.457959,2.4082661,0.0496929
125.4088289,125.6441811,125.6441811,128.0431119,2.4540857,2.3989308,0.0551549
128.0441433,128.2874893,128.2874893,131.6570963,3.4287606,3.369607,0.0591536
